version	inner_geomean_us	outer_geomean_us	small_n_us	decode_us	prefill_us	anchor_us	verdict	change
g_23	64.74	49.86	-	27.74	-	581.0	accept	v5 Stage 6: the S rule becomes regional (rule 1 for M<=32, rule 0 above) AND rule 1's own search is fixed. The v3-era note called rule 1 FALSIFIED on "wins 5-7.5% at M<=8, anchor +3.9%, overall -0.91%"; re-measured on g_22 the win region is M<=32, not M<=8 (M=1 -5.8/-6.9/-6.1%, M=16 -1.5/-10.8/-6.8%, M=32 -2.8/-9.5/-4.0% at N=131072/262144/524288) and the anchor is +1.7%. M=64 is the boundary: it wins at two of the three N and loses +17.2% at the middle one, so it keeps rule 0. SECOND FIX, and the reason the first attempt regressed: rule 1's search stepped S *= 2, so it only considered powers of two, and a non-pow2 N has no exact stride there -- the loop ran to SAMPLE_S_MAX and rule 1 asked for MORE sampling than rule 0. At M=1 that was +21.5% at N=65532 (4160->16384), +13.2% at N=131068 (8256->16384), +8.1% at N=32832 (4608->8192). Stage 3 fixed exactly this in the repair path and this search was left behind; stepping by SAMPLE_CHUNK_ELEMS zeroes all three and finds wins the doubling form could not reach (N=524288 16384->5440 -5.0%, N=1048572 16384->10816 -4.6%). verify_grid --dist all 2885/2885; inner ACCEPT -0.83% 6 improved 0 regressed; outer ACCEPT -1.71% 130 improved 0 regressed, the largest single move of the v5 run. Fallback pressure fell where the rule changed: under_K>0 lines at M<=32 went 37 -> 6, since a smaller S carries a larger auto_margin.
g_22	65.27	50.75	15.48	28.94	192.17	581.6	accept	v5 Stage 4: kCoopLog2G re-fitted at HALF-octave N resolution (13x13), from 2093 measured points across 13 M, 23 N and 7 G (log/coop_sweep_{half,hole,mid,base16k}.tsv). Fills the hole I left in v4 (M>=256, N in [32768,131072), columns set to 0 because that sweep never measured them): worth 1.01x-1.28x at M=256 growing with N, 1.00x-1.07x above. Octave columns are measurably too coarse: refitting this same data with one column per octave costs up to +5.42% (M=64 over [16384,32768)) and >1% on 12 (M,octave) pairs. METHOD FIX, the transferable part: a cell must be fitted on the WORST case over the range it serves, not the argmin at the one N it was measured at. Argmin gave M=1024 col11 G=1, which leads G=16 by 0.2% at N=786432 and loses 12.6% at N=1048572 in the same bucket -- it shipped into an outer run as a real +8.2% regression, the only one of 547. Minimax over the bucket picks G=16 at 0.2%/0.1% cost elsewhere. The same flaw hid in the monotone tie-break (checked at one N it moved M=64 col1 to G=16: free at 24576, +9.4% at 28672), so both passes now evaluate across the bucket, which required a 2nd and 3rd N measured per bucket. Residual: no cell worse than +3.4% against any N inside it, down from +9.4%. Also corrected: the v4 note claiming G=8 costs +32% at M=256 N=32768 was misread from a probe that only tried G in {1,2,4}; G=8 is 32.5 vs G=1's 32.2, a tie. verify_grid --dist all 2885/2885; inner ACCEPT -0.99% 6 improved 0 regressed; outer ACCEPT -0.57% 67 improved 0 regressed.
g_21	65.82	51.01	15.47	28.95	194.81	581.0	accept	v5 Stage 3: search for the nearest exact sampling stride instead of offering one candidate. The repair only ever tried N/64 chunks, which align_sample_s clamps to SAMPLE_S_MAX, so at N = 2^k + 64 (aiter's num_prefix + num_rows pattern) the only exact S on offer was the largest: S 4096 -> 16384, four times the phase_a sampling for 0.2% more data. M=4096 N=32768 243.0 us vs N=32832 313.6 us (+29%), M=1024 +32.5%, M=256 +18.3%. 1.33% of all N in [32768,1048576] were inflated >=2x. Searching upward finds S=4608 at N=32832, 4800 at 49216, 4352 at 65600, 5952 at 92332: measured -10.8% to -22.2% at M=64..4096. Pow2 N untouched by construction (an exact stride skips the repair entirely); N=131328 trades a masked stride for an exact one at +0.0%/+0.5%. Capping the repair's GROWTH was tried and is worse: it keeps the law's S with a masked stride, which gave under_K=760 on --dist inf at M=4096 N=65600 where the uncapped S gives 0 and the neighbouring pow2 N=65536 at the same S=4096 also gives 0. verify_grid --dist all 2885/2885 with warnings 673->668 and under_K>0 lines 113->114. ALSO FIXED THIS ROUND: score_grid's per-point key dropped topk, so the 134 colliding (m,n) pairs were scored across different k -- the whole N=65536 column reported +5.4% to +12.7% twice in a row while an interleaved A/B of g_20 and this build at the baseline's own argv agreed to within 0.2 us. Under the corrected (m,n,topk) key the same run is 0 regressed / 23 improved. score_grid --self-test now asserts both tiers compare clean against themselves; the old key flags 52 of the v5 outer baseline's own 547 points and 43 of v4's own 402. That retracts the "nine cells of baseline drift" diagnosis recorded in g_18.
g_20	66.41	-	-	-	-	581.0	accept	CORRECTNESS FIX (v5 Stage 2). Any row base not a multiple of 4 faulted with HIP 700 on the sampled path while aiter served the same call -- a documented parameter (rowStarts, g_10) behind which topk_avo_supports cannot see, so the dispatcher could not route around it. Root cause is NOT the misalignment: gfx950 serves a 4-byte-aligned global_load_dwordx4 natively (strides 1/3/7/65 give base%4 in {1,3} and pass at prefix=100000 on both the sampled and small_n paths, and declaring vfloat4 aligned(4) changed nothing). It is n4_cover(len) rounding the vector count UP, so the last vector of a slice whose length is not a multiple of 4 reaches 3 floats past it -- into the next row for an interior row, past the ALLOCATION for the last one. Nonzero rowStarts are what put row_start+len within 3 of the pitch. Fixed by load_row_f4<RAGGED> at the six streaming load sites, which loads the final partial vector element-wise under < len. Three forms measured: inline `e+4<=len` +0.39..+0.88% (shipped), hoisted n4_full +0.52..+1.00%, clamp armed only on row==gridDim-1 +0.55..+2.63%. 20 of 34 kernels keep byte-identical instruction streams and every changed one is RAGGED=true, so the scored uniform grid is untouched (inner +0.04%, 0 cells regressed). verify_grid --dist all 2885/2885 with 4 new ROWSTARTS strides (1/3/7/65) as a negative control: all four fault on the pre-fix binary and pass after. Also stride1!=1 added to the aiter dispatch condition so it keeps going to mb/ob instead of hitting the AVO assert. Differential audit now reports no AVO-only failure.
g_19	66.38	51.09	26.97	28.98	195.41	581.0	accept	v5 grid fork: 29 non-pow2 N values x M in {1,64,256,1024,4096}, outer 402->547, inner 24->28. Not comparable to v4 by construction. Each N reaches a configuration pow2 cannot express: pow2 N only ever produce S in {4096,8192,16384} = 7/4/2 LDS-limited phase_a blocks/CU, and 71.9% of all N in the aiter dispatch range take the masked sampling stride against 1 of v4's 402 points. The three known holes are now gate-visible: M=256 N=32832 is the worst ratio in the whole grid at 4.80x its floor (the S-repair inflation class), M=4096 N=32832 is 313.8 us at 2.47x, M=1024 N=196608 is 1.40x. verify_grid --dist all 2865/2865, gate proven failable under --inject-fault 1 and 2 at four new-axis shapes including a masked-stride one. Baselines saved quiet, GPU idle, binary confirmed newer than every header; inner re-run +0.05%, 0 cells regressed.
g_18	61.24	40.04	27.00	28.75	174.70	580.4	accept	REVERT of g_17, and the state that SHIPS. benchmark_topk.hip.cpp and csrc/topk_common.hip.hpp are byte-identical to pre-v4 (726a9e60) again; the only kernel diff left is g_16's kCoopLog2G rows and the phase_b_filter_coop ragged n4 fix. Gates re-run on ONE fresh binary, machine verified idle (rocm-smi 38C, no other KFD PIDs): verify_grid --dist all 2140/2140, inner per-cell vs the real g_15 baseline ACCEPT 61.96 -> 61.27 us (-1.12%), 7 cells improved / 0 regressed. Outer 43.23 -> 40.05 us (-7.34%), 351 cells improved. The 9 outer cells that scored REJECT (M>=1024 x N in 16384/32768/65536, +5.9% to +13.0%) are BASELINE DRIFT, not a regression: interleaved same-session A/B of a pre-v4 binary against the shipped one gives identical numbers on all nine (e.g. M=4096 N=16384 pre 0.1630/0.1630 vs ship 0.1632/0.1630 ms) and all nine derive coop_g=1, where phase_b_filter_coop is never launched -- so no shipped diff can reach them. Baselines re-saved from the quiet run: inner 61.24 us, outer 40.04 us, anchor 580.4 us.
g_17	-	-	-	-	-	-	revert	WITHDRAWN. v4 Stage 2 per-region scan form (g_scan_wave0_dev + kScanWave0) is FALSIFIED and fully reverted; benchmark_topk.hip.cpp and csrc/topk_common.hip.hpp are byte-identical to pre-v4 again. The g_17 ACCEPT was measured on a STALE BINARY: make said "Nothing to be done for 'all'" after an edit to csrc/topk_shape.hip.hpp, so score_grid timed the previous build and saved that into the inner baseline (caught by mtime benchmark_topk 23:24:29 vs header 23:24:46, plus make -n). Re-priced on one fresh binary via a temporary --scan-wave0 override: all three configs within 0.1-0.3% everywhere, and on the anchor across 3 rounds wave0 0.5838/0.5838/0.5842 ms BEATS rep 0.5843/0.5851/0.5853 (stddev 0.07-0.12%) -- opposite sign to g_14's -0.35%. Cause: g_14/g_15 priced the anchor at coop_g=1 (phase_b_filter_wavestage + phase_c_select_waveseg); g_16 gives it coop_g=8 (phase_b_filter_coop + phase_c_select_contig), so the barrier structure the scan form trades against left the critical path. Pre-coop evidence cannot justify a post-coop knob. Stage 3 (per-region S rule) also reverted UNMEASURED for the same expiry reason. Stage 4: no new table needed -- the +12.1% hole at M=2048 N=4096 is phase_small_n_topk, covered by kSmallNWaves since g_2.
g_16	61.26	39.98	27.05	-	-	581.0	accept	v4 Stage 1: extend kCoopLog2G to M=4096 (13 rows), drop choose_coop_g M>=256 early return, fix phase_b_filter_coop ragged n4 (n4_cover(len) not pitch/4 -- rowStarts M=256 N=131072 HIP 700 at coop_g=8). Sweep 5x4x6 G in log/coop_sweep.tsv; ni<=2 columns 0 for M>=256 (unmeasured). Inner per-cell ACCEPT: 5-7 cells improved, 0 regressed, geomean 61.96->61.26 us (-1.1%); anchor 609.4->581.0 us (-4.7%); M=256 N=1M 400.7->215.3 us (-46%). verify_grid --dist all 2140/2140; gate failable on coop path (--inject-fault 1/2 at M=256 N=1M G=16). Outer baseline refreshed (6 stale coop_g=1 cells drifted +5-10% vs pre-verify_grid baseline, verified on clean binary).
g_15	61.96	-	26.96	-	-	609.4	accept	Third barrier off: wave 0 alone scans all 256 buckets (block_find_pivot_bucket_wave0), so the cross-wave s_wavetot partials and their barrier disappear and a radix pass runs 2 block barriers instead of 3, with zero extra LDS and no slot read twice. Near-mirror of g_14's trade: small_n M=4096 N=8192 -2.2%, M=1 N=1M -1.6%, M=2048 N=4096 -1.4%, M=4096 N=1M neutral, anchor +0.4% (607.2 -> 609.4 us). Inner geomean 62.66 -> 61.96 us (-1.1%), small_n -2.3% (more than repaying g_14's +0.40%), decode -1.3%, prefill neutral. verify_grid --dist all 2140/2140, gate proven failable on the shipped path first. Static result recorded: reaching 2 barriers by letting EVERY wave scan redundantly does not work (the clear then needs its own barrier pair, back to 3, at 4x the LDS reads); the only other route to 2 is a double-buffered histogram at +4 KB, which costs phase_a 4 -> 3 blocks/CU at S=8192. Also FALSIFIED this round: wave-aggregated LDS histogram atomics (-DHIST_AGG_ROUNDS=1..3), +6.6% to +37.7% despite a measured 14.1% ceiling in phase_a.
g_14	62.66	-	27.64	-	-	607.2	accept	Second barrier off the same lever: the fused scan re-zeroes each histogram bucket as it reads it (block_find_pivot_bucket_rep<CLEAR=true>), so the per-pass clear loop and its barrier go away and a radix pass runs 3 block barriers instead of 4. Zero LDS cost, unlike double-buffering the histogram (+4 KB would cut phase_a 4 -> 3 blocks/CU at S=8192). Exact, not opportunistic: thread t owns slots [t*HIST_REP,(t+1)*HIST_REP) and blocks are always >= 256 threads, so the 256 scanning threads cover all HIST_SLOTS once. A REGIME TRADE: anchor 609.3 -> 607.2 us (-0.35%), M=1 N=1M -0.8%, decode -0.8%, prefill -0.8%, against small_n M=4096 N=8192 +1.8% (small_n regime geomean 27.52 -> 27.64, +0.40%, inside the 0.5% band). Taken because large N is the target and N<=32768 is routed to aiter's own prefill by the stride0>=32768 dispatch. verify_grid --dist all 2140/2140, gate proven failable on the shipped path first. NOTE a transient contention artifact during this run reported inner geomean 78.30 us across all regimes; three quiet re-runs gave 62.62/62.68/62.66 and the baseline was re-saved from those.
